"Step","participant_id: 661_test_30_pca - val/val_mae","participant_id: 661_test_30_pca - val/val_mae__MIN","participant_id: 661_test_30_pca - val/val_mae__MAX"
"56","0.11221832036972046","0.11221832036972046","0.11221832036972046"
"113","0.10632168501615524","0.10632168501615524","0.10632168501615524"
"171","0.1063346192240715","0.1063346192240715","0.1063346192240715"
"228","0.07583718746900558","0.07583718746900558","0.07583718746900558"
"286","0.059882014989852905","0.059882014989852905","0.059882014989852905"
"343","0.060258928686380386","0.060258928686380386","0.060258928686380386"
"401","0.06287314742803574","0.06287314742803574","0.06287314742803574"
"458","0.06551462411880493","0.06551462411880493","0.06551462411880493"
"515","0.06917769461870193","0.06917769461870193","0.06917769461870193"
"573","0.07019586116075516","0.07019586116075516","0.07019586116075516"
"630","0.06539122015237808","0.06539122015237808","0.06539122015237808"
"688","0.06759467720985413","0.06759467720985413","0.06759467720985413"
"745","0.06670613586902618","0.06670613586902618","0.06670613586902618"
"803","0.06156159192323685","0.06156159192323685","0.06156159192323685"
"860","0.060344014316797256","0.060344014316797256","0.060344014316797256"
"918","0.056717198342084885","0.056717198342084885","0.056717198342084885"
"975","0.051943134516477585","0.051943134516477585","0.051943134516477585"
"1032","0.05367545038461685","0.05367545038461685","0.05367545038461685"
"1090","0.04956195503473282","0.04956195503473282","0.04956195503473282"
"1147","0.04891659691929817","0.04891659691929817","0.04891659691929817"
"1205","0.04864554479718208","0.04864554479718208","0.04864554479718208"
"1262","0.04577462002635002","0.04577462002635002","0.04577462002635002"
"1320","0.045099396258592606","0.045099396258592606","0.045099396258592606"
"1377","0.043824147433042526","0.043824147433042526","0.043824147433042526"
"1435","0.04117430001497269","0.04117430001497269","0.04117430001497269"
"1492","0.04072185605764389","0.04072185605764389","0.04072185605764389"
"1549","0.040379274636507034","0.040379274636507034","0.040379274636507034"
"1607","0.03797494247555733","0.03797494247555733","0.03797494247555733"
"1664","0.03768806532025337","0.03768806532025337","0.03768806532025337"
"1722","0.03817981854081154","0.03817981854081154","0.03817981854081154"
"1779","0.037076883018016815","0.037076883018016815","0.037076883018016815"
"1837","0.03624335303902626","0.03624335303902626","0.03624335303902626"
"1894","0.03676554560661316","0.03676554560661316","0.03676554560661316"
"1951","0.03633279353380203","0.03633279353380203","0.03633279353380203"
"2009","0.03658636286854744","0.03658636286854744","0.03658636286854744"
"2066","0.03623269870877266","0.03623269870877266","0.03623269870877266"
"2124","0.035717617720365524","0.035717617720365524","0.035717617720365524"
"2181","0.03579201176762581","0.03579201176762581","0.03579201176762581"
