"Step","participant_id: 661_test_30 - val/rmse","participant_id: 661_test_30 - val/rmse__MIN","participant_id: 661_test_30 - val/rmse__MAX"
"56","0.08612598292529583","0.029912572354078293","0.14233939349651337"
"113","0.04978489316999912","0.029132720082998276","0.07043706625699997"
"171","0.05063427425920963","0.030373062938451767","0.0708954855799675"
"228","0.047153846360743046","0.030361974611878395","0.0639457181096077"
"286","0.044130273163318634","0.030418667942285538","0.05784187838435173"
"343","0.04190926905721426","0.03040793351829052","0.053410604596138"
"401","0.03835941571742296","0.02935078553855419","0.04736804589629173"
"458","0.037236711010336876","0.02951326221227646","0.04496015980839729"
"515","0.03533306438475847","0.029198525473475456","0.04146760329604149"
"573","0.03466430399566889","0.02875884808599949","0.04056975990533829"
"630","0.03426730819046497","0.02914653718471527","0.039388079196214676"
"688","0.033812956884503365","0.030251160264015198","0.03737475350499153"
"745","0.03361615352332592","0.029368937015533447","0.03786337003111839"
"803","0.03376783709973097","0.029836883768439293","0.037698790431022644"
"860","0.03373033180832863","0.030384764075279236","0.03707589954137802"
"918","0.03338442835956812","0.030291954055428505","0.03647690266370773"
"975","0.03290473110973835","0.02967710793018341","0.03613235428929329"
"1032","0.03273751586675644","0.02918657660484314","0.03628845512866974"
"1090","0.03261878713965416","0.02926429733633995","0.03597327694296837"
"1147","0.032377276569604874","0.02885497733950615","0.0358995757997036"
"1205","0.032960754819214344","0.028613006696105003","0.037308502942323685"
"1262","0.03296039532870054","0.029955757781863213","0.03596503287553787"
"1320","0.03297662828117609","0.02927137352526188","0.0366818830370903"
"1377","0.03227738942950964","0.0297574233263731","0.03479735553264618"
"1435","0.032440079376101494","0.029397066682577133","0.035483092069625854"
"1492","0.031743829138576984","0.027681687846779823","0.035805970430374146"
"1549","0.0332307331264019","0.02996685728430748","0.03649460896849632"
"1607","0.03254615794867277","0.028779560700058937","0.036312755197286606"
"1664","0.03221205435693264","0.0293457992374897","0.03507830947637558"
"1722","0.03198526334017515","0.028963321819901466","0.03500720486044884"
