epoch,step,val/loss_epoch,val/val_mae,val/val_mse,val/rmse,val/mape
0,2821,0.07317551225423813,0.21269778907299042,0.07317551225423813,0.21269778907299042,0.8439199924468994
1,5643,0.018573421984910965,0.10136330872774124,0.018573421984910965,0.10136330872774124,0.4997825622558594
2,8465,0.010921391658484936,0.07264826446771622,0.010921391658484936,0.07264826446771622,0.3977023661136627
3,11287,0.008943387307226658,0.06352772563695908,0.008943387307226658,0.06352772563695908,0.35791608691215515
4,14109,0.007504887413233519,0.05654764920473099,0.007504887413233519,0.05654764920473099,0.3222813606262207
5,16931,0.00657381396740675,0.051873281598091125,0.00657381396740675,0.051873281598091125,0.29994672536849976
6,19753,0.00598873570561409,0.0488666333258152,0.00598873570561409,0.0488666333258152,0.2789433002471924
7,22575,0.005493999924510717,0.046026844531297684,0.005493999924510717,0.046026844531297684,0.26190710067749023
8,25397,0.005225975997745991,0.04446519911289215,0.005225975997745991,0.04446519911289215,0.25509512424468994
9,28219,0.004945054650306702,0.04276218265295029,0.004945054650306702,0.04276218265295029,0.24538004398345947
10,31041,0.004757786635309458,0.04132821038365364,0.004757786635309458,0.04132821038365364,0.24102427065372467
11,33863,0.004640893545001745,0.040093980729579926,0.004640893545001745,0.040093980729579926,0.24337488412857056
12,36685,0.004455725662410259,0.03858306631445885,0.004455725662410259,0.03858306631445885,0.23627686500549316
13,39507,0.00438974192366004,0.03853464871644974,0.00438974192366004,0.03853464871644974,0.2357177585363388
14,42329,0.004268025979399681,0.0374518558382988,0.004268025979399681,0.0374518558382988,0.238050639629364
15,45151,0.004147489555180073,0.03694944083690643,0.004147489555180073,0.03694944083690643,0.22604696452617645
16,47973,0.004181267693638802,0.03734016790986061,0.004181267693638802,0.03734016790986061,0.2300974726676941
17,50795,0.003940629307180643,0.03517763689160347,0.003940629307180643,0.03517763689160347,0.21368630230426788
18,53617,0.003940258640795946,0.03541340306401253,0.003940258640795946,0.03541340306401253,0.20556746423244476
19,56439,0.0038489438593387604,0.03481488302350044,0.0038489438593387604,0.03481488302350044,0.19899451732635498
20,59261,0.0037826744373887777,0.03440295532345772,0.0037826744373887777,0.03440295532345772,0.1977701485157013
21,62083,0.003774428041651845,0.03431537002325058,0.003774428041651845,0.03431537002325058,0.1943478286266327
22,64905,0.0036799926310777664,0.03354291990399361,0.0036799926310777664,0.03354291990399361,0.18864069879055023
23,67727,0.003692528000101447,0.03383077681064606,0.003692528000101447,0.03383077681064606,0.18985259532928467
24,70549,0.003662752453237772,0.03397005423903465,0.003662752453237772,0.03397005423903465,0.188203364610672
25,73371,0.003589044092223048,0.03275774046778679,0.003589044092223048,0.03275774046778679,0.18044008314609528
26,76193,0.003644737647846341,0.033949751406908035,0.003644737647846341,0.033949751406908035,0.18354444205760956
27,79015,0.0034968124236911535,0.03230205178260803,0.0034968124236911535,0.03230205178260803,0.17922067642211914
28,81837,0.0035700839944183826,0.033381715416908264,0.0035700839944183826,0.033381715416908264,0.1822078377008438
29,84659,0.0035357223823666573,0.03269331529736519,0.0035357223823666573,0.03269331529736519,0.17956840991973877
30,87481,0.0034935190342366695,0.03256174921989441,0.0034935190342366695,0.03256174921989441,0.17597925662994385
31,90303,0.003518132260069251,0.03315924480557442,0.003518132260069251,0.03315924480557442,0.1771714985370636
32,93125,0.003500866238027811,0.03301149234175682,0.003500866238027811,0.03301149234175682,0.17562781274318695
33,95947,0.0034594018943607807,0.032492175698280334,0.0034594018943607807,0.032492175698280334,0.1739393025636673
34,98769,0.003397977212443948,0.03194977343082428,0.003397977212443948,0.03194977343082428,0.17111441493034363
35,101591,0.003336613532155752,0.031157104298472404,0.003336613532155752,0.031157104298472404,0.1707199364900589
36,104413,0.0033845226280391216,0.03174343332648277,0.0033845226280391216,0.03174343332648277,0.17161305248737335
37,107235,0.003283024998381734,0.03076719492673874,0.003283024998381734,0.03076719492673874,0.1671188622713089
38,110057,0.0033272048458456993,0.031503207981586456,0.0033272048458456993,0.031503207981586456,0.16905833780765533
39,112879,0.00328282592818141,0.030996309593319893,0.00328282592818141,0.030996309593319893,0.16715309023857117
40,115701,0.0033037064131349325,0.031679507344961166,0.0033037064131349325,0.031679507344961166,0.16966605186462402
41,118523,0.0031936157029122114,0.03035469725728035,0.0031936157029122114,0.03035469725728035,0.1646752953529358
42,121345,0.003206114750355482,0.030463149771094322,0.003206114750355482,0.030463149771094322,0.1675383597612381
43,124167,0.003141910769045353,0.029929358512163162,0.003141910769045353,0.029929358512163162,0.1687440276145935
44,126989,0.0031365796457976103,0.030015988275408745,0.0031365796457976103,0.030015988275408745,0.16462939977645874
45,129811,0.003152271034196019,0.03036082722246647,0.003152271034196019,0.03036082722246647,0.16556160151958466
46,132633,0.003120305947959423,0.03045092523097992,0.003120305947959423,0.03045092523097992,0.16682595014572144
47,135455,0.0030988925136625767,0.030404476448893547,0.0030988925136625767,0.030404476448893547,0.16591748595237732
48,138277,0.003143767826259136,0.031193498522043228,0.003143767826259136,0.031193498522043228,0.16655370593070984
49,141099,0.003077676286920905,0.030503977090120316,0.003077676286920905,0.030503977090120316,0.16736066341400146
50,143921,0.0029931894969195127,0.029721882194280624,0.0029931894969195127,0.029721882194280624,0.16286787390708923
51,146743,0.002995382295921445,0.029956381767988205,0.002995382295921445,0.029956381767988205,0.1615896224975586
52,149565,0.002983708865940571,0.029647082090377808,0.002983708865940571,0.029647082090377808,0.16653147339820862
53,152387,0.0030010484624654055,0.029946209862828255,0.0030010484624654055,0.029946209862828255,0.16562072932720184
54,155209,0.0030246921814978123,0.030993398278951645,0.0030246921814978123,0.030993398278951645,0.1663232296705246
55,158031,0.0029549694154411554,0.029632965102791786,0.0029549694154411554,0.029632965102791786,0.16559219360351562
56,160853,0.002942435909062624,0.030013801530003548,0.002942435909062624,0.030013801530003548,0.16945259273052216
57,163675,0.0029183966107666492,0.02959960140287876,0.0029183966107666492,0.02959960140287876,0.1642686426639557
58,166497,0.0029469297733157873,0.029981371015310287,0.0029469297733157873,0.029981371015310287,0.17119403183460236
59,169319,0.002934438642114401,0.02987394481897354,0.002934438642114401,0.02987394481897354,0.16699698567390442
60,172141,0.0029283349867910147,0.03032415732741356,0.0029283349867910147,0.03032415732741356,0.16410882771015167
