epoch,step,val/loss_epoch,val/val_mae,val/val_mse,val/rmse,val/mape
0,2821,0.06545452028512955,0.21414226293563843,0.06545452028512955,0.21414226293563843,0.629621148109436
1,5643,0.032496269792318344,0.14971205592155457,0.032496269792318344,0.14971205592155457,0.5101890563964844
2,8465,0.015298611484467983,0.09177285432815552,0.015298611484467983,0.09177285432815552,0.4533686339855194
3,11287,0.010490382090210915,0.06590432673692703,0.010490382090210915,0.06590432673692703,0.41838380694389343
4,14109,0.009207293391227722,0.059066373854875565,0.009207293391227722,0.059066373854875565,0.39568665623664856
5,16931,0.008514712564647198,0.05663599073886871,0.008514712564647198,0.05663599073886871,0.37827691435813904
6,19753,0.007764340844005346,0.053489722311496735,0.007764340844005346,0.053489722311496735,0.3525594174861908
7,22575,0.007179363165050745,0.05143008381128311,0.007179363165050745,0.05143008381128311,0.32751381397247314
8,25397,0.006837970577180386,0.05080394074320793,0.006837970577180386,0.05080394074320793,0.3120369613170624
9,28219,0.006619030609726906,0.05079428479075432,0.006619030609726906,0.05079428479075432,0.30450159311294556
10,31041,0.006434418726712465,0.05079212039709091,0.006434418726712465,0.05079212039709091,0.30462563037872314
11,33863,0.006238955073058605,0.050501253455877304,0.006238955073058605,0.050501253455877304,0.3060210347175598
12,36685,0.005980050191283226,0.049708738923072815,0.005980050191283226,0.049708738923072815,0.3007582426071167
13,39507,0.005715901497751474,0.04847735911607742,0.005715901497751474,0.04847735911607742,0.29717424511909485
14,42329,0.005225503817200661,0.04510706663131714,0.005225503817200661,0.04510706663131714,0.289440393447876
15,45151,0.004964777268469334,0.044372476637363434,0.004964777268469334,0.044372476637363434,0.26788952946662903
16,47973,0.005758241284638643,0.054146021604537964,0.005758241284638643,0.054146021604537964,0.2585684061050415
17,50795,0.007665337063372135,0.06934904307126999,0.007665337063372135,0.06934904307126999,0.27802255749702454
18,53617,0.008056801743805408,0.07013849914073944,0.008056801743805408,0.07013849914073944,0.28951433300971985
19,56439,0.008845438249409199,0.07314477860927582,0.008845438249409199,0.07314477860927582,0.30731698870658875
20,59261,0.006966749671846628,0.0621870793402195,0.006966749671846628,0.0621870793402195,0.3022059500217438
21,62083,0.004912145435810089,0.04671530798077583,0.004912145435810089,0.04671530798077583,0.265530526638031
22,64905,0.005287804175168276,0.05113929510116577,0.005287804175168276,0.05113929510116577,0.25150763988494873
23,67727,0.005340286996215582,0.05280718952417374,0.005340286996215582,0.05280718952417374,0.23505468666553497
24,70549,0.00566432299092412,0.05647750198841095,0.00566432299092412,0.05647750198841095,0.22637753188610077
25,73371,0.007222787011414766,0.06621028482913971,0.007222787011414766,0.06621028482913971,0.24568986892700195
26,76193,0.008467219769954681,0.07331841439008713,0.008467219769954681,0.07331841439008713,0.2664397954940796
27,79015,0.006812321953475475,0.0634133517742157,0.006812321953475475,0.0634133517742157,0.2645680010318756
28,81837,0.005194343626499176,0.05170201510190964,0.005194343626499176,0.05170201510190964,0.2731733024120331
29,84659,0.005054649896919727,0.05147738754749298,0.005054649896919727,0.05147738754749298,0.2762565016746521
30,87481,0.004072944633662701,0.039248064160346985,0.004072944633662701,0.039248064160346985,0.28396812081336975
31,90303,0.004709300119429827,0.04438696429133415,0.004709300119429827,0.04438696429133415,0.3201559782028198
32,93125,0.005362216383218765,0.04944363608956337,0.005362216383218765,0.04944363608956337,0.3468068540096283
33,95947,0.005790420342236757,0.05380241572856903,0.005790420342236757,0.05380241572856903,0.35032710433006287
34,98769,0.00556245818734169,0.05280495434999466,0.00556245818734169,0.05280495434999466,0.3325052857398987
35,101591,0.005180406384170055,0.05014737695455551,0.005180406384170055,0.05014737695455551,0.314039945602417
36,104413,0.004340319894254208,0.04306170716881752,0.004340319894254208,0.04306170716881752,0.2799660563468933
37,107235,0.004300463944673538,0.043294213712215424,0.004300463944673538,0.043294213712215424,0.2686595320701599
38,110057,0.00397461699321866,0.04019806161522865,0.00397461699321866,0.04019806161522865,0.2546810209751129
39,112879,0.003760459367185831,0.037456776946783066,0.003760459367185831,0.037456776946783066,0.24867962300777435
40,115701,0.004117037169635296,0.04018322378396988,0.004117037169635296,0.04018322378396988,0.26924440264701843
41,118523,0.006331956014037132,0.05576961115002632,0.006331956014037132,0.05576961115002632,0.3313312232494354
42,121345,0.006391181610524654,0.05460413172841072,0.006391181610524654,0.05460413172841072,0.3158906400203705
43,124167,0.005306638777256012,0.04865124076604843,0.005306638777256012,0.04865124076604843,0.25542721152305603
