train|MSE,epoch,step,val|MSE,val|MAE,val|MAPE
0.9420664310455322,0,49,,,
0.7724113464355469,0,99,,,
0.7077800035476685,0,149,,,
0.6420758962631226,0,199,,,
0.6709810495376587,0,249,,,
0.5655627846717834,0,299,,,
0.4979413151741028,0,349,,,
0.41683995723724365,0,399,,,
0.453104704618454,0,449,,,
0.37973374128341675,0,499,,,
0.37437498569488525,0,549,,,
0.3962351679801941,0,599,,,
,0,636,0.7625307440757751,0.8149998784065247,1.0094175338745117
0.2990291714668274,1,649,,,
0.25903433561325073,1,699,,,
0.2110172063112259,1,749,,,
0.1516871452331543,1,799,,,
0.19884052872657776,1,849,,,
0.18923482298851013,1,899,,,
0.13094426691532135,1,949,,,
0.10495670139789581,1,999,,,
0.12475162744522095,1,1049,,,
0.12272201478481293,1,1099,,,
0.07508467137813568,1,1149,,,
0.11120611429214478,1,1199,,,
0.07396607100963593,1,1249,,,
,1,1273,0.07200317084789276,0.2025655061006546,0.27523449063301086
0.08378177881240845,2,1299,,,
0.042454320937395096,2,1349,,,
0.03717050328850746,2,1399,,,
0.023289218544960022,2,1449,,,
0.006224185228347778,2,1499,,,
0.02497851476073265,2,1549,,,
0.02297838218510151,2,1599,,,
0.020084582269191742,2,1649,,,
0.03625031188130379,2,1699,,,
0.01694468781352043,2,1749,,,
0.02778533101081848,2,1799,,,
0.006214052438735962,2,1849,,,
0.019137024879455566,2,1899,,,
,2,1910,0.291629433631897,0.46578165888786316,0.6352744102478027
0.023292114958167076,3,1949,,,
0.01637691631913185,3,1999,,,
0.007864980958402157,3,2049,,,
0.022874362766742706,3,2099,,,
0.012919249013066292,3,2149,,,
0.005817212164402008,3,2199,,,
0.007930949330329895,3,2249,,,
0.01531901489943266,3,2299,,,
0.0130758760496974,3,2349,,,
0.012807922437787056,3,2399,,,
0.010113915428519249,3,2449,,,
0.01115703210234642,3,2499,,,
,3,2547,0.5926311612129211,0.6822558045387268,0.9155905246734619
0.008550286293029785,4,2549,,,
0.004573012702167034,4,2599,,,
0.010210931301116943,4,2649,,,
0.008101599290966988,4,2699,,,
0.015863802284002304,4,2749,,,
0.007949357852339745,4,2799,,,
0.01632213592529297,4,2849,,,
0.025579622015357018,4,2899,,,
0.005719833541661501,4,2949,,,
0.03441820293664932,4,2999,,,
0.015704773366451263,4,3049,,,
0.007910948246717453,4,3099,,,
0.004701760597527027,4,3149,,,
