train|MSE,epoch,step
0.1283653825521469,0,49
0.04898568242788315,0,99
0.0007649227045476437,0,149
0.09168051183223724,0,199
0.0007769949152134359,0,249
0.006623617839068174,0,299
0.004572388716042042,0,349
0.007116835098713636,0,399
0.0025567584671080112,0,449
0.004219359718263149,0,499
0.0018010130152106285,0,549
0.012193663977086544,0,599
0.009049296379089355,0,649
0.0022446359507739544,0,699
0.001623398857191205,0,749
0.0026156241074204445,0,799
0.0014047295553609729,0,849
0.014890177175402641,0,899
0.0003885609330609441,0,949
0.0013413168489933014,0,999
0.010532896965742111,0,1049
0.015378132462501526,0,1099
0.006435078103095293,0,1149
0.0008600559667684138,0,1199
0.007925732061266899,0,1249
0.005930373445153236,0,1299
0.004126948770135641,0,1349
0.033018238842487335,0,1399
0.001263942918740213,0,1449
0.0018392913043498993,0,1499
0.12290729582309723,0,1549
0.0020003593526780605,0,1599
0.008318139240145683,0,1649
0.0012629929697141051,0,1699
0.004056911915540695,0,1749
0.0028233383782207966,0,1799
0.01037459634244442,0,1849
0.0030088508501648903,0,1899
0.00682208314538002,0,1949
0.002681911922991276,0,1999
0.002538487780839205,0,2049
0.0008423348190262914,0,2099
0.0005840993253514171,0,2149
0.014823419973254204,0,2199
0.003835998009890318,0,2249
0.0014325097436085343,0,2299
0.0013815292622894049,0,2349
0.0010549875441938639,0,2399
0.0003316352376714349,0,2449
0.17777036130428314,0,2499
0.0028732912614941597,0,2549
0.0025706079322844744,0,2599
0.0008473488851450384,0,2649
0.002730750013142824,0,2699
0.1343214362859726,0,2749
0.002999731106683612,0,2799
0.004480448085814714,0,2849
0.0031354492530226707,0,2899
0.0004076369514223188,0,2949
0.0028212321922183037,0,2999
0.0037534062284976244,0,3049
0.03249622881412506,0,3099
0.011278574354946613,0,3149
0.08598450571298599,0,3199
0.0017487523145973682,0,3249
0.0006221787771210074,0,3299
0.003474143100902438,0,3349
0.034525319933891296,0,3399
0.009828378446400166,0,3449
0.020107444375753403,0,3499
0.00031598523491993546,0,3549
0.004103030078113079,0,3599
0.07203952223062515,0,3649
0.0005805090768262744,0,3699
0.0008797050104476511,0,3749
0.009960363619029522,0,3799
0.002267966279760003,0,3849
0.0013359083095565438,0,3899
0.0003999973414465785,0,3949
0.002074828604236245,0,3999
0.006578913889825344,0,4049
0.0002321080246474594,0,4099
0.02343282289803028,0,4149
0.008485771715641022,0,4199
0.0070333657786250114,0,4249
0.026271138340234756,0,4299
