epoch;step;val/loss_epoch;val/val_mae;val/val_mse;val/rmse;val/mape
0;2821;0.02518344111740589;0.09566829353570938;0.02518344111740589;0.09566829353570938;0.9911772608757019
1;5643;0.018757645040750504;0.10108740627765656;0.018757645040750504;0.10108740627765656;0.7328487038612366
2;8465;0.01826924830675125;0.10114212334156036;0.01826924830675125;0.10114212334156036;0.4539206027984619
3;11287;0.01269973162561655;0.07489290088415146;0.01269973162561655;0.07489290088415146;0.4234921932220459
4;14109;0.010438269935548306;0.06447973847389221;0.010438269935548306;0.06447973847389221;0.410502552986145
5;16931;0.009534504264593124;0.06248996779322624;0.009534504264593124;0.06248996779322624;0.40322989225387573
6;19753;0.00890408456325531;0.06080549955368042;0.00890408456325531;0.06080549955368042;0.3874501585960388
7;22575;0.008252575062215328;0.05847899243235588;0.008252575062215328;0.05847899243235588;0.3694736957550049
8;25397;0.007694321218878031;0.05547735095024109;0.007694321218878031;0.05547735095024109;0.36032718420028687
9;28219;0.007100699469447136;0.05264639854431152;0.007100699469447136;0.05264639854431152;0.3410952687263489
10;31041;0.006793774664402008;0.05151595547795296;0.006793774664402008;0.05151595547795296;0.3339657485485077
11;33863;0.006363526452332735;0.04958455637097359;0.006363526452332735;0.04958455637097359;0.31632718443870544
12;36685;0.005879897158592939;0.04759388044476509;0.005879897158592939;0.04759388044476509;0.29962044954299927
13;39507;0.00551426038146019;0.045983269810676575;0.00551426038146019;0.045983269810676575;0.28431254625320435
14;42329;0.0049771335907280445;0.04230972006917;0.0049771335907280445;0.04230972006917;0.2602691054344177
15;45151;0.004961373284459114;0.04360845312476158;0.004961373284459114;0.04360845312476158;0.25014567375183105
16;47973;0.004592127166688442;0.04019662365317345;0.004592127166688442;0.04019662365317345;0.22962456941604614
17;50795;0.004389776382595301;0.03826792538166046;0.004389776382595301;0.03826792538166046;0.21713370084762573
18;53617;0.003985116258263588;0.03249632939696312;0.003985116258263588;0.03249632939696312;0.200034037232399
19;56439;0.004087863489985466;0.03380763530731201;0.004087863489985466;0.03380763530731201;0.20722074806690216
20;59261;0.004188211634755135;0.034516140818595886;0.004188211634755135;0.034516140818595886;0.2160029113292694
21;62083;0.004196192603558302;0.03481369465589523;0.004196192603558302;0.03481369465589523;0.21680252254009247
22;2821;0.004398627672344446;0.03712434321641922;0.004398627672344446;0.03712434321641922;0.22398120164871216
23;5643;0.004399801138788462;0.037612494081258774;0.004399801138788462;0.037612494081258774;0.22018079459667206
24;8465;0.004269705619663;0.03789038956165314;0.004269705619663;0.03789038956165314;0.2061399221420288
25;11287;0.004312189761549234;0.03837689384818077;0.004312189761549234;0.03837689384818077;0.20539036393165588
26;14109;0.004308026283979416;0.03886584937572479;0.004308026283979416;0.03886584937572479;0.20417779684066772
27;2821;0.004522913601249456;0.041224852204322815;0.004522913601249456;0.041224852204322815;0.20846226811408997
28;5643;0.004594154190272093;0.04246247187256813;0.004594154190272093;0.04246247187256813;0.21403755247592926
29;8465;0.0052014305256307125;0.048491720110177994;0.0052014305256307125;0.048491720110177994;0.2386544942855835
30;11287;0.005193553864955902;0.048744481056928635;0.005193553864955902;0.048744481056928635;0.23618066310882568
31;14109;0.004831923637539148;0.04605067893862724;0.004831923637539148;0.04605067893862724;0.23585863411426544
32;16931;0.005087284371256828;0.04806743189692497;0.005087284371256828;0.04806743189692497;0.23749788105487823
33;19753;0.005343871656805277;0.05037310719490051;0.005343871656805277;0.05037310719490051;0.24770130217075348
34;22575;0.005185005255043507;0.04965861141681671;0.005185005255043507;0.04965861141681671;0.2522807717323303
35;25397;0.005256913136690855;0.05057566985487938;0.005256913136690855;0.05057566985487938;0.2586519718170166
36;28219;0.0050455182790756226;0.04897674545645714;0.0050455182790756226;0.04897674545645714;0.24413152039051056
37;31041;0.0045899865217506886;0.04512622579932213;0.0045899865217506886;0.04512622579932213;0.24097850918769836
38;33863;0.004772071726620197;0.04740341380238533;0.004772071726620197;0.04740341380238533;0.2534959316253662
39;36685;0.004307186231017113;0.04295790567994118;0.004307186231017113;0.04295790567994118;0.23195795714855194
40;39507;0.0042216419242322445;0.04313831776380539;0.0042216419242322445;0.04313831776380539;0.23258136212825775
41;42329;0.004259835928678513;0.043816834688186646;0.004259835928678513;0.043816834688186646;0.24218504130840302
42;45151;0.003997029270976782;0.041327815502882004;0.003997029270976782;0.041327815502882004;0.22404369711875916
43;47973;0.003858954645693302;0.039618540555238724;0.003858954645693302;0.039618540555238724;0.22196459770202637
44;50795;0.004005047492682934;0.04207194596529007;0.004005047492682934;0.04207194596529007;0.2265298217535019
45;53617;0.004023050889372826;0.04236400127410889;0.004023050889372826;0.04236400127410889;0.23088286817073822
46;56439;0.004120038356631994;0.044349513947963715;0.004120038356631994;0.044349513947963715;0.23372375965118408
47;59261;0.003970739897340536;0.04235059767961502;0.003970739897340536;0.04235059767961502;0.23347671329975128
48;62083;0.004395422991365194;0.047480691224336624;0.004395422991365194;0.047480691224336624;0.2527632713317871
49;64905;0.004310178570449352;0.04685728996992111;0.004310178570449352;0.04685728996992111;0.24223895370960236
50;67727;0.004460484720766544;0.04851916804909706;0.004460484720766544;0.04851916804909706;0.25608283281326294
51;70549;0.00451401574537158;0.04939167574048042;0.00451401574537158;0.04939167574048042;0.2538207471370697
52;73371;0.004156910814344883;0.04588651657104492;0.004156910814344883;0.04588651657104492;0.23925501108169556
53;76193;0.004307842347770929;0.047853440046310425;0.004307842347770929;0.047853440046310425;0.238648921251297
54;79015;0.004500062670558691;0.05004943907260895;0.004500062670558691;0.05004943907260895;0.24449165165424347
55;81837;0.00439063087105751;0.04936587065458298;0.00439063087105751;0.04936587065458298;0.24745972454547882
56;84659;0.004514001309871674;0.050588998943567276;0.004514001309871674;0.050588998943567276;0.24942292273044586
57;87481;0.0042870743200182915;0.04815582558512688;0.0042870743200182915;0.04815582558512688;0.23204466700553894
58;90303;0.004016559571027756;0.04517802968621254;0.004016559571027756;0.04517802968621254;0.21706712245941162
59;93125;0.0037632868625223637;0.041882507503032684;0.0037632868625223637;0.041882507503032684;0.20549093186855316
60;95947;0.003693400649353862;0.04102228954434395;0.003693400649353862;0.04102228954434395;0.1973971128463745
61;98769;0.0036796345375478268;0.040931686758995056;0.0036796345375478268;0.040931686758995056;0.1971515715122223
62;101591;0.003712692763656378;0.04164934158325195;0.003712692763656378;0.04164934158325195;0.19633106887340546
63;104413;0.0036200154572725296;0.04068718105554581;0.0036200154572725296;0.04068718105554581;0.1951874941587448
64;107235;0.003688672324642539;0.04192300885915756;0.003688672324642539;0.04192300885915756;0.19678659737110138
65;110057;0.003760385327041149;0.04219581559300423;0.003760385327041149;0.04219581559300423;0.19871973991394043
66;112879;0.003596602939069271;0.04001736640930176;0.003596602939069271;0.04001736640930176;0.19221854209899902
67;115701;0.0035868335980921984;0.03962837532162666;0.0035868335980921984;0.03962837532162666;0.1893964558839798
68;118523;0.003723995527252555;0.04145234078168869;0.003723995527252555;0.04145234078168869;0.19242429733276367
69;121345;0.003854138310998678;0.042849522083997726;0.003854138310998678;0.042849522083997726;0.1983131766319275
70;124167;0.0035001698415726423;0.039556536823511124;0.0035001698415726423;0.039556536823511124;0.19091184437274933
71;126989;0.003647126257419586;0.04154267534613609;0.003647126257419586;0.04154267534613609;0.1954028457403183
72;129811;0.0035044103860855103;0.03994714841246605;0.0035044103860855103;0.03994714841246605;0.19001169502735138
73;132633;0.0036709103733301163;0.04222482442855835;0.0036709103733301163;0.04222482442855835;0.20306769013404846
74;135455;0.0034969295375049114;0.04018491506576538;0.0034969295375049114;0.04018491506576538;0.1926933079957962
75;138277;0.0033197952434420586;0.037217121571302414;0.0033197952434420586;0.037217121571302414;0.18613460659980774
76;141099;0.0031122465152293444;0.03490545600652695;0.0031122465152293444;0.03490545600652695;0.1851368546485901
77;143921;0.0028525821398943663;0.03174946457147598;0.0028525821398943663;0.03174946457147598;0.16871267557144165
78;146743;0.0031147466506808996;0.03474302962422371;0.0031147466506808996;0.03474302962422371;0.17859402298927307
79;149565;0.00284633319824934;0.031927842646837234;0.00284633319824934;0.031927842646837234;0.17767979204654694
80;152387;0.0028989699203521013;0.032272081822156906;0.0028989699203521013;0.032272081822156906;0.1768694967031479
81;155209;0.0027339505031704903;0.03035595268011093;0.0027339505031704903;0.03035595268011093;0.16499492526054382
82;158031;0.002892834134399891;0.032131630927324295;0.002892834134399891;0.032131630927324295;0.17465722560882568
83;160853;0.002721838653087616;0.030457932502031326;0.002721838653087616;0.030457932502031326;0.16775380074977875
84;163675;0.0028802959714084864;0.03260068967938423;0.0028802959714084864;0.03260068967938423;0.1704913079738617
85;166497;0.00271771103143692;0.03016193024814129;0.00271771103143692;0.03016193024814129;0.16875803470611572
86;169319;0.0027628822717815638;0.030373811721801758;0.0027628822717815638;0.030373811721801758;0.16763584315776825
87;172141;0.0025774752721190453;0.028463589027523994;0.0025774752721190453;0.028463589027523994;0.16194851696491241
88;174963;0.0028707038145512342;0.03341460973024368;0.0028707038145512342;0.03341460973024368;0.1807284951210022
89;177785;0.002725366037338972;0.03012174926698208;0.002725366037338972;0.03012174926698208;0.17447158694267273
90;180607;0.002604186302050948;0.028551777824759483;0.002604186302050948;0.028551777824759483;0.16773709654808044
91;183429;0.0029329590033739805;0.033511124551296234;0.0029329590033739805;0.033511124551296234;0.1778128743171692
92;186251;0.0026025271508842707;0.02863427810370922;0.0026025271508842707;0.02863427810370922;0.16704106330871582
93;189073;0.0028188657015562057;0.031305305659770966;0.0028188657015562057;0.031305305659770966;0.164608433842659
94;191895;0.002855775412172079;0.03184856101870537;0.002855775412172079;0.03184856101870537;0.17482472956180573
95;194717;0.0027098185382783413;0.029479362070560455;0.0027098185382783413;0.029479362070560455;0.1676267683506012
96;197539;0.002538841450586915;0.027557671070098877;0.002538841450586915;0.027557671070098877;0.16215267777442932
97;200361;0.0028662090189754963;0.031900521367788315;0.0028662090189754963;0.031900521367788315;0.17293411493301392
98;203183;0.0028338218107819557;0.03144730627536774;0.0028338218107819557;0.03144730627536774;0.1715858280658722
99;206005;0.0026884751860052347;0.029349258169531822;0.0026884751860052347;0.029349258169531822;0.16331149637699127
100;208827;0.0026353683788329363;0.0286684762686491;0.0026353683788329363;0.0286684762686491;0.15996041893959045
101;211649;0.0028754761442542076;0.0324416309595108;0.0028754761442542076;0.0324416309595108;0.16299566626548767
102;214471;0.00255701900459826;0.027957342565059662;0.00255701900459826;0.027957342565059662;0.15309639275074005
103;217293;0.002538905246183276;0.027424223721027374;0.002538905246183276;0.027424223721027374;0.15276527404785156
104;220115;0.002935671480372548;0.0326613113284111;0.002935671480372548;0.0326613113284111;0.1627386212348938
105;222937;0.0025143236853182316;0.028559356927871704;0.0025143236853182316;0.028559356927871704;0.15383213758468628
106;225759;0.0027219257317483425;0.030200084671378136;0.0027219257317483425;0.030200084671378136;0.15036556124687195
107;228581;0.0026502867694944143;0.029422886669635773;0.0026502867694944143;0.029422886669635773;0.15471495687961578
